"Energy with dietary fibre, equated (kJ)",Moisture (water) (g),Nitrogen (g),Ash (g),Alcohol (g),Fructose (g),Glucose (g),Sucrose(g),Maltose (g),Lactose (g),Total sugars (g),Added sugars (g),Free sugars (g),Starch (g),Calcium (Ca) (mg),Copper (Cu) (mg),Iodine (I) (ug),Iron (Fe) (mg),Magnesium (Mg) (mg),Manganese (Mn) (mg),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Zinc (Zn) (mg),Retinol (preformed vitamin A) (ug),Beta-carotene (ug),Beta-carotene equivalents (provitamin A) (ug),Vitamin A retinol equivalents (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Niacin derived from tryptophan (mg),Niacin derived equivalents (mg),Pyridoxine (B6) (mg),Cobalamin (B12) (ug),"Folate, natural (ug)",Folic acid (ug),Total folates (ug),Dietary folate equivalents (ug),Vitamin C (mg),Cholecalciferol (D3) (ug),Ergocalciferol (D2) (ug),25-hydroxy cholecalciferol (25-OH D3) (ug),25-hydroxy ergocalciferol (25-OH D2) (ug),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Vitamin E (mg),"Total saturated fatty acids, equated (%T)","Total monounsaturated fatty acids, equated (%T)",C18:2w6 (%T),C18:3w3 (%T),C20:5w3 (%T),C22:5w3 (%T),C22:6w3 (%T),"Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated (%T)","Total trans fatty acids, imputed (%T)",C16 (g),"Total saturated fatty acids, equated (g)",C18:1 (g),"Total monounsaturated fatty acids, equated (g)",C18:2w6 (g),C18:3w3 (g),C20:5w3 (mg),C22:5w3 (mg),C22:6w3 (mg),"Total polyunsaturated fatty acids, equated (g)","Total long chain omega 3 fatty acids, equated (mg)","Total trans fatty acids, imputed (mg)",Caffeine (mg),Cholesterol (mg),Tryptophan (mg/gN),Tryptophan (mg)
93,91.7,0.14,0.6,0.0,1.3,1.9,0.2,0.0,0.0,3.4,0.0,0.0,0.3,22,,0.0,0.3,11,,54,310,0.0,12,0.2,0,0,0,0,0.05,0.03,0.9,0.15,1.05,0.11,0.0,11,0,11,11,27,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,63.0,9
474,66.8,1.01,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,12.5,45,0.31,0.0,1.8,27,0.76,86,140,6.0,250,1.0,0,23,23,4,0.0,0.0,0.5,1.29,1.79,0.14,0.0,63,0,63,63,0,0.0,0,0.0,0,0.0,1.4,1.87,12.75,29.03,55.5,2.1,0.0,0.0,0.0,57.62,0.0,0.0,0.18,0.21,0.48,0.49,0.93,0.04,0.0,0.0,0.0,0.97,0.0,0.0,0,0,75.0,76
1020,50.2,0.61,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,10,0.108,2.6,0.86,25,0.409,104,491,0.7,192,0.49,0,0,0,0,0.09,0.07,3.24,0.8,4.04,0.05,0.0,8,0,8,8,1,0.0,0,0.0,0,0.0,0.4,0.4,14.14,56.66,22.8,4.7,0.0,0.0,0.0,27.63,0.0,1.8,1.14,1.65,6.5,6.62,2.66,0.55,0.0,0.0,0.0,3.23,0.0,204.42,0,8,77.0,47
360,76.4,0.05,0.2,0.0,9.1,8.6,2.1,0.0,0.0,19.8,15.7,15.7,0.0,4,0.05,0.0,0.4,11,0.78,3,80,0.0,6,0.0,0,7,7,1,0.05,0.0,0.0,0.08,0.08,0.07,0.0,5,0,5,5,8,0.0,0,0.0,0,0.0,0.0,0.01,33.5,19.9,18.2,26.2,0.0,0.0,0.0,46.2,0.0,0.0,0.09,0.16,0.08,0.1,0.09,0.12,0.0,0.0,0.0,0.22,0.0,0.0,0,0,89.0,4
104,91.5,0.47,0.8,0.0,0.9,0.6,0.1,0.0,0.0,1.6,0.0,0.0,0.0,12,0.082,0.0,1.12,17,0.224,46,339,0.0,2,0.22,0,148,166,28,0.141,0.127,1.0,0.61,1.79,0.09,0.0,76,0,76,76,13,0.0,0,0.0,0,0.0,0.6,0.58,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,36
460,71.8,2.9,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,16,0.009,20.4,0.52,18,0.0,143,195,71.0,54,0.35,152,0,0,152,0.0,0.044,4.54,3.96,8.5,0.16,0.9,0,0,0,0,0,1.8,0,0.1,0,2.3,1.4,1.4,,,,,,,,,,,0.66,0.99,0.85,1.41,0.05,0.01,112.45,44.98,472.29,0.78,629.724,63.94,0,53,,233
841,61.6,2.91,2.7,0.0,0.0,0.3,0.3,0.2,0.0,0.8,0.0,0.0,4.1,19,,2.7,0.89,25,,197,224,23.2,844,1.44,31,0,0,31,0.185,0.221,4.49,3.54,8.03,0.22,0.5,3,0,3,3,0,0.0,0,1.0,0,4.8,0.5,0.52,32.2,53.6,12.5,1.0,0.0,0.0,0.0,13.6,0.0,0.6,2.59,3.67,5.32,6.11,1.42,0.11,0.0,0.0,0.0,1.55,0.0,68.4,0,90,72.0,208
1201,4.7,1.07,24.0,0.0,0.0,1.1,8.8,0.4,0.0,10.3,1.4,1.4,28.0,108,0.15,10.0,1.1,36,0.35,217,22,7.4,7130,0.57,24,660,672,136,0.17,0.1,0.0,1.18,1.18,0.62,0.2,110,0,110,110,0,0.0,0,0.0,0,0.0,0.3,0.33,45.7,37.28,10.7,1.0,0.2,0.0,0.0,11.93,0.2,5.4,0.65,0.91,,0.74,0.21,0.02,3.99,0.0,0.0,0.24,3.99,107.73,0,3,65.0,70
507,68.6,4.34,3.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,185,1.739,30.9,0.93,57,0.095,276,312,40.1,1077,2.19,0,7,7,1,0.0,0.075,4.16,3.46,7.62,0.5,1.4,24,0,24,24,0,0.0,0,0.0,0,0.0,1.0,1.03,,,,,,,,,,,0.15,0.24,0.14,0.17,0.11,0.01,73.14,5.78,97.22,0.33,176.143,1.94,0,264,,204
52,95.9,0.1,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,42,0.023,0.1,0.27,10,0.1,28,134,0.0,12,0.16,0,80,90,15,0.01,0.02,0.15,0.08,0.23,1.8,0.0,4,0,4,4,9,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,5
